"State,County Name, High School Diploma Only Rate 2012 - 2016, Average Unemployment Rate 2012 - 2016"
CO,Gunnison County,18.1,5.04
CO,Hinsdale County,22.8,3.46
CO,Huerfano County,27.4,3.08
CO,Jackson County,37.2,5.44
CO,Jefferson County,20.9,4.48
CO,Kiowa County,35.2,4.52
CO,Kit Carson County,38.1,8.34
CO,Lake County,33.6,4.38
CO,La Plata County,19.3,4.16
CO,Larimer County,19.4,7.18
CO,Las Animas County,29.6,4.5
CO,Lincoln County,49.7,6.0
CO,Logan County,34.2,6.66
CO,Mesa County,29.3,7.12
CO,Mineral County,21.0,5.06
CO,Moffat County,39.9,7.68
CO,Montezuma County,29.5,6.1
CO,Montrose County,32.1,4.68
CO,Morgan County,31.8,3.4
CO,Otero County,28.4,5.2
CO,Ouray County,18.2,5.04
CO,Park County,26.0,7.72
CO,Phillips County,32.4,6.4
CO,Pitkin County,13.8,8.78
CO,Prowers County,27.6,4.58
CO,Pueblo County,29.3,8.4
CO,Rio Blanco County,33.6,6.26
CO,Rio Grande County,27.4,5.3
CO,Routt County,21.6,4.62
CO,Saguache County,26.3,3.9
CO,San Juan County,32.6,6.16
CO,San Miguel County,14.8,3.56
CO,Sedgwick County,33.8,5.26
CO,Summit County,17.0,3.66
CO,Washington County,34.1,6.24
CO,Weld County,27.0,6.96
CO,Yuma County,33.1,6.08
CT,Fairfield County,22.4,7.26
CT,Hartford County,27.2,6.92
CT,Litchfield County,29.5,5.92
CT,Middlesex County,27.2,7.42
CT,New London County,30.8,6.3
CT,Tolland County,27.1,5.68
CT,Windham County,33.3,5.86
DE,Kent County,33.6,7.68
DE,Sussex County,34.7,5.36
DC,District of Columbia,18.0,6.6
FL,Alachua County,21.9,7.16
FL,Baker County,41.5,6.04
FL,Bay County,30.6,7.12
FL,Bradford County,34.8,7.14
FL,Brevard County,28.9,8.74
FL,Broward County,27.3,5.82
FL,Calhoun County,39.9,6.24
FL,Charlotte County,34.2,6.78
FL,Citrus County,37.5,7.3
FL,Clay County,30.7,7.5
FL,Collier County,26.2,6.76
FL,Columbia County,36.1,6.58
FL,DeSoto County,40.7,7.42
FL,Dixie County,43.2,5.38
FL,Duval County,28.0,8.18
FL,Escambia County,28.2,6.94
FL,Flagler County,33.4,7.2
FL,Franklin County,35.8,6.12
FL,Gadsden County,35.6,7.54
FL,Gilchrist County,39.3,7.68
FL,Glades County,44.0,11.12
FL,Gulf County,35.7,8.1
FL,Hamilton County,38.5,8.54
FL,Hardee County,40.4,5.94
FL,Hendry County,31.7,7.02
FL,Hernando County,36.6,8.3
FL,Highlands County,36.9,6.82
FL,Hillsborough County,27.2,6.96
FL,Holmes County,37.6,5.06
FL,Indian River County,30.2,6.68
FL,Jackson County,35.5,6.34
FL,Jefferson County,32.6,5.62
FL,Lafayette County,37.3,7.1
FL,Lake County,33.5,6.46
FL,Lee County,30.7,6.94
FL,Leon County,18.6,6.0
FL,Levy County,41.3,7.76
FL,Liberty County,46.5,6.28
FL,Madison County,38.6,6.74
FL,Manatee County,30.9,4.36
FL,Marion County,37.2,6.04
FL,Martin County,26.1,5.3
FL,Miami-Dade County,28.4,7.44
FL,Monroe County,28.8,6.02
FL,Nassau County,34.9,7.0
FL,Okaloosa County,25.5,6.24
FL,Okeechobee County,37.9,6.9
FL,Orange County,25.7,5.94
FL,Osceola County,33.6,7.3
FL,Palm Beach County,25.1,9.04
FL,Pasco County,33.2,4.88
FL,Pinellas County,29.1,8.14
FL,Polk County,35.9,5.78
FL,Putnam County,38.2,6.14
FL,St. Johns County,21.2,5.96
FL,St. Lucie County,33.2,8.64
FL,Santa Rosa County,27.4,6.42
FL,Sarasota County,29.8,7.22
FL,Seminole County,23.4,5.76
FL,Sumter County,30.4,7.1
FL,Suwannee County,40.0,5.52
FL,Taylor County,41.1,5.6
FL,Union County,39.6,6.86
FL,Wakulla County,37.4,8.82
FL,Walton County,26.5,7.94
FL,Washington County,41.8,7.24
GA,Appling County,40.8,9.04
GA,Atkinson County,40.1,6.7
GA,Bacon County,41.0,6.4
GA,Baker County,41.5,7.36
GA,Baldwin County,37.0,10.72
GA,Banks County,42.9,8.26
GA,Barrow County,33.7,8.14
GA,Bartow County,34.4,10.94
GA,Ben Hill County,43.1,9.1
GA,Berrien County,38.8,7.18
GA,Bibb County,32.2,6.4
GA,Bleckley County,42.3,7.5
GA,Brantley County,45.6,10.02
GA,Brooks County,38.5,7.94
GA,Bryan County,25.8,6.88
GA,Bulloch County,27.6,6.94
GA,Burke County,38.2,6.92
GA,Butts County,44.5,8.22
GA,Calhoun County,40.2,6.02
GA,Camden County,32.5,7.32
GA,Candler County,35.9,7.2
GA,Carroll County,35.2,9.92
GA,Catoosa County,31.8,7.82
GA,Charlton County,46.3,5.58
GA,Chatham County,25.0,6.98
GA,Chattahoochee County,26.7,11.54
GA,Chattooga County,39.2,9.34
GA,Cherokee County,24.1,8.1
GA,Clarke County,21.4,5.98
GA,Clay County,46.0,8.44
GA,Clayton County,31.8,7.38
GA,Clinch County,38.6,5.78
GA,Cobb County,19.0,7.7
GA,Coffee County,39.5,6.22
GA,Colquitt County,37.0,7.58
GA,Columbia County,24.5,9.1
GA,Cook County,39.0,6.4
GA,Coweta County,31.2,6.36
GA,Crawford County,37.6,8.26
GA,Crisp County,37.8,7.28
GA,Dade County,36.1,9.56
GA,Dawson County,29.0,9.28
GA,Decatur County,33.9,9.12
GA,DeKalb County,20.9,7.42
GA,Dodge County,42.4,8.42
GA,Dooly County,40.1,5.76
GA,Dougherty County,28.4,6.32
GA,Douglas County,31.4,9.1
GA,Early County,40.6,10.4
GA,Echols County,35.3,6.7
GA,Effingham County,36.9,7.62
GA,Elbert County,45.3,6.02
GA,Emanuel County,40.2,8.26
GA,Evans County,39.7,5.38
GA,Fannin County,38.8,8.08
GA,Fayette County,20.7,7.12
GA,Floyd County,31.0,7.7
GA,Forsyth County,17.6,8.06
GA,Franklin County,40.0,7.34
GA,Fulton County,18.1,7.5
GA,Gilmer County,35.9,7.0
GA,Glascock County,43.3,8.44
GA,Glynn County,27.6,6.08
GA,Gordon County,35.3,7.14
GA,Grady County,37.2,6.0
GA,Greene County,33.5,12.34
GA,Gwinnett County,23.3,8.04
GA,Habersham County,34.2,5.9
GA,Hall County,27.7,7.68
GA,Hancock County,40.3,7.9
GA,Haralson County,36.7,7.3
GA,Harris County,27.0,6.72
GA,Hart County,37.7,9.52
GA,Heard County,43.6,6.04
GA,Henry County,29.9,7.1
GA,Houston County,29.3,8.56
GA,Irwin County,43.5,10.96
GA,Jackson County,33.3,10.28
GA,Jasper County,41.2,8.3
GA,Jeff Davis County,38.5,6.58
GA,Jefferson County,41.4,9.48
GA,Jenkins County,39.7,7.76
GA,Johnson County,37.6,9.38
GA,Jones County,38.1,6.1
GA,Lamar County,38.7,7.36
GA,Lanier County,28.7,8.4
GA,Laurens County,44.0,7.08
GA,Lee County,28.8,7.12
GA,Liberty County,31.5,6.38
GA,Lincoln County,42.5,9.82
GA,Long County,34.6,7.9
GA,Lowndes County,29.2,11.0
GA,Lumpkin County,29.0,6.82
GA,McDuffie County,39.7,8.36
GA,McIntosh County,35.1,9.46
GA,Macon County,34.7,6.44
GA,Madison County,39.7,7.78
GA,Marion County,38.5,6.9
GA,Meriwether County,38.9,9.94
GA,Miller County,38.7,6.92
GA,Mitchell County,40.8,9.48
GA,Monroe County,35.4,8.46
GA,Montgomery County,38.6,8.38
GA,Morgan County,35.0,5.0
GA,Murray County,35.8,6.72
GA,Muscogee County,26.8,6.24
GA,Newton County,31.4,9.24
GA,Oconee County,20.9,6.72
GA,Oglethorpe County,37.0,7.34
GA,Paulding County,33.5,7.18
GA,Peach County,30.9,7.96
GA,Pickens County,29.7,7.68
GA,Pierce County,40.4,9.16
GA,Pike County,41.6,8.04
GA,Polk County,37.2,8.48
GA,Pulaski County,42.9,9.96
GA,Putnam County,38.2,8.56
GA,Quitman County,42.6,7.98
GA,Rabun County,33.0,8.1
